Test: 0.9525390625, Train: 0.9453125, Steps: 17900
Test: 0.957421875, Train: 0.96875, Steps: 27900
Test: 0.9912109375, Train: 0.984375, Steps: 26700
Test: 0.955078125, Train: 0.9609375, Steps: 36900
Test: 0.9521484375, Train: 0.9609375, Steps: 33400
Test: 0.9548828125, Train: 0.9765625, Steps: 36800
Test: 0.95078125, Train: 0.9609375, Steps: 46900
Test: 0.9544921875, Train: 0.96875, Steps: 55500
Test: 0.95546875, Train: 0.9921875, Steps: 69400
Test: 0.9505859375, Train: 0.9921875, Steps: 117100
