Test: 0.999609375, Train: 0.8671875, Steps: 23800
Test: 0.99765625, Train: 0.8984375, Steps: 26400
Test: 0.99453125, Train: 0.8828125, Steps: 28800
Test: 0.9685546875, Train: 0.921875, Steps: 33000
Test: 0.9974609375, Train: 0.8671875, Steps: 35500
Test: 0.9525390625, Train: 0.8359375, Steps: 34300
Test: 0.9912109375, Train: 0.9140625, Steps: 38700
Test: 0.9958984375, Train: 0.8828125, Steps: 35100
Test: 0.9994140625, Train: 0.9453125, Steps: 45400
Test: 0.9681640625, Train: 0.8359375, Steps: 41500
