Test: 0.9509765625, Train: 0.953125, Steps: 120100
Test: 0.9525390625, Train: 0.9609375, Steps: 154600
Test: 0.953125, Train: 0.96875, Steps: 153200
Test: 0.951171875, Train: 0.9609375, Steps: 162100
Test: 0.95390625, Train: 0.96875, Steps: 161700
Test: 0.9515625, Train: 0.9765625, Steps: 174800
Test: 0.9623046875, Train: 0.9765625, Steps: 235900
Test: 0.950390625, Train: 0.9609375, Steps: 356200
Test: 0.9517578125, Train: 0.9296875, Steps: 420900
