Test: 0.9533203125, Train: 0.9453125, Steps: 66900
Test: 0.9505859375, Train: 0.96875, Steps: 84100
Test: 0.956640625, Train: 0.953125, Steps: 71000
Test: 0.998046875, Train: 0.96875, Steps: 89000
Test: 0.9509765625, Train: 0.96875, Steps: 95200
Test: 0.9509765625, Train: 0.953125, Steps: 100900
Test: 0.9537109375, Train: 0.9765625, Steps: 108300
Test: 0.9560546875, Train: 0.984375, Steps: 98000
Test: 0.9513671875, Train: 0.9609375, Steps: 115600
Test: 0.95546875, Train: 0.9453125, Steps: 306700
