Test: 0.9859375, Train: 0.9140625, Steps: 21500
Test: 0.9736328125, Train: 0.859375, Steps: 25300
Test: 0.9818359375, Train: 0.90625, Steps: 28500
Test: 0.9552734375, Train: 0.9140625, Steps: 39000
Test: 0.98671875, Train: 0.890625, Steps: 32700
Test: 0.9634765625, Train: 0.8984375, Steps: 36700
Test: 0.9630859375, Train: 0.8828125, Steps: 31900
Test: 0.969921875, Train: 0.921875, Steps: 39400
Test: 0.9740234375, Train: 0.9453125, Steps: 34100
Test: 0.9599609375, Train: 0.9453125, Steps: 68200
